company,description,industries
"QUANTA SERVICES, INC. (PWR)","Quanta provides specialty contracting services to the electric power and oil and gas industries. Services include design, installation and maintenance of electric power transmission infrastructure, substation facilities, pipelines and other infrastructure.","business services,energy,telecommunications"
PVH CORP. (PVH),"PVH designs and markets branded apparel. The company owns brand names such as Calvin Klein, Tommy Hilfiger, and Van Heusen, and licenses other brands such as Speedo, Geoffrey Beene, and Kenneth Cole New York.",consumer goods
PACTIV CORPORATION (PTV),"Pactiv produces packaging products such as waste bags, food storage bags, and disposable tableware and cookware sold primarily in North America under trademarks such as Hefty, as well as foodservice packaging.","Acquired.,consumer goods,materials"
PTC INC. (PTC),PTC develops software for computer-aided design and product lifecycle management.,software
PHILLIPS 66 (PSX),"Phillips 66 transports and processes natural gas, liquids, and crude oil in the U.S. The company refines crude oil and manufactures and markets petrochemicals and plastics, as well as refined petroleum products, mainly in the U.S. and Europe.","energy,materials"
PUBLIC STORAGE (PSA),"Public Storage is a REIT that owns and operates self-storage facilities which offer storage for lease on a month-to-month basis, for personal and business use.","real estate,REIT"
"PRUDENTIAL FINANCIAL, INC. (PRU)","Prudential offers a wide array of financial products and services, including life insurance, annuities, retirement-related services, mutual funds and investment management.","asset management,financial company,insurance"
PERRIGO COMPANY PLC (PRGO),"Perrigo is a global over-the-counter pharmaceutical and consumer goods company. The company makes infant formulas for the store brand market, provides generic topical prescription products, and receives royalties from sales of the multiple sclerosis drug, Tysabri.","consumer goods,pharmaceuticals"
PPL CORPORATION (PPL),"PPL is a utility holding company that delivers electricity to customers in the U.K., Pennsylvania, Kentucky, Virginia and Tennessee; delivers natural gas to customers in Kentucky; and generates electricity from power plants in Kentucky.",utility
"PPG INDUSTRIES, INC. (PPG)","PPG Industries manufactures and distributes a broad range of coatings, specialty materials and glass products. PPG was incorporated in 1883.",materials
PEPCO HOLDINGS INC (POM),"Prior to its 2014 merger with Exelon Corporation, Pepco Holdings was a holding company that owned regulated public utility companies providing electricity and natural gas in Washington, D.C., Maryland, Delaware, Virginia, and New Jersey.","Acquired.,utility"
PINNACLE WEST CAPITAL CORPORATION (PNW),Pinnacle West is a holding company that owns an electric utility providing retail and wholesale electric service to most of the State of Arizona.,utility
PENTAIR PLC (PNR),"Pentair is a diversified manufacturing company with products that include valves, controls and actuators, solutions for filtration, separation, flow and fluid management, and heat management solutions for electrical, mechanical and civil applications.",equipment
"THE PNC FINANCIAL SERVICES GROUP, INC. (PNC)","PNC is engaged in retail banking, corporate and institutional banking, asset management, and residential mortgage banking. The primary markets served by the company are in the Mid-West, Mid-Atlantic, and the South-East of the U.S.","banking,financial company"
PHILIP MORRIS INTERNATIONAL INC. (PM),Philip Morris International manufactures and sells cigarettes and other tobacco products outside of the U.S. The company's portfolio of cigarette brands is led by Marlboro.,consumer goods
PALL CORP (PLL),"Acquired by Danaher Corporation in 2015, Pall Corporation, was a supplier of filtration, separation and purification technologies, serving life sciences, microelectronics, energy and water markets.","Acquired.,equipment,materials"
"PROLOGIS, INC. (PLD)",Prologis is a global provider of logistics real estate that is primarily rented by its customers. The company was formed in the 2011 merger of AMB Property Corporation and the legacy ProLogis.,"real estate,REIT"
[] PROLOGIS (PLD),"Prior to its 2011 merger with AMB Property Corporation, ProLogis was a real estate investment trust that provided industrial distribution facilities.","Acquired.,real estate,REIT"
"PERKINELMER, INC. (PKI)","PerkinElmer provides tools for diagnostics, research, environmental and industrial use. Products include genetic disorder and infectious disease tests, X-ray detectors, reagents, liquid handling systems, biological screening systems, chromatography and mass spectrometry instruments","equipment,health care"
PACKAGING CORPORATION OF AMERICA (PKG),"The company produces containerboard, corrugated packaging products, and uncoated freesheet, primarily in the U.S.",manufacturing
"PULTEGROUP, INC. (PHM)","PulteGroup builds and finances residential homes, including single-family detached, townhouses, and condominiums, in the U.S.",engineering and construction
PARKER-HANNIFIN CORPORATION (PH),"Parker-Hannifin is a diversified manufacturer of motion and control systems, such as pneumatic, fluidic and electromechanical components, primarily for industrial and aerospace markets.",manufacturing
THE PROGRESSIVE CORPORATION (PGR),"Progressive provides personal and commercial automobile and property insurance, and other types of specialty property-casualty insurance.","financial company,insurance"
"PROGRESS ENERGY, INC. (PGN)","Progress Energy is a public utility holding company primarily engaged in the regulated electric utility business in North Carolina, South Carolina and Florida.","Acquired.,utility"
THE PROCTER & GAMBLE COMPANY (PG),"P&G is a consumer packaged goods company originally founded in 1837. Company brands include Head & Shoulders, Olay, Gillette, Crest, Dawn, Febreze, and Pampers.",consumer goods
"PROFIRE ENERGY, INC. (PFIE)","Profire Energy designs, installs, and services burner-management systems for the oil and gas industry in North America.","engineering and construction,equipment"
"PRINCIPAL FINANCIAL GROUP, INC. (PFG)","Principal Financial Group is a global investment management company, serving businesses, individuals and institutions.","asset management,financial company,insurance"
PFIZER INC. (PFE),"Pfizer develops a broad range of medicines, vaccines, and other biopharmaceutical products.","health care,pharmaceuticals"
"PETMED EXPRESS, INC. (PETS)","PetMed Express, d/b/a 1-800-PetMeds, is a U.S. pet pharmacy that markets prescription and non-prescription pet medications, and other health products for dogs and cats, direct to the consumer.",consumer goods
"PETSMART, INC (PETM)","Acquired by a consortium of private equity funds in 2015, PetSmart was a retailer of pet products and services, such as grooming and training.","Acquired.,consumer goods,consumer services,retail"
"PEPSICO, INC. (PEP)","Originally incorporated in 1919, PepsiCo is a global food and beverage company with a portfolio of brands that includes Frito-Lay, Gatorade, Pepsi-Cola, Quaker and Tropicana.",consumer goods
PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED (PEG),"The company operates a regulated gas and electricity public utility in New Jersey, and sells wholesale energy, capacity, and fuel.","energy,utility"
"PATTERSON COMPANIES, INC (PDCO)","Patterson's primary business is distribution of dental products, such as x-ray film, restorative materials, instruments and equipment, to dentists, dental laboratories, and other healthcare professionals in North America.","equipment,health care"
PRECISION CASTPARTS CORP. (PCP),"Acquired by Berkshire Hathaway in 2015, Precision Castparts was a manufacturer of metal components such as castings, forgings and fasteners for aerospace, industrial, armament, medical and other applications.","Acquired.,manufacturing"
"PLUM CREEK TIMBER COMPANY, INC. (PCL)","Prior to its 2015 merger with the Weyerhaeuser Company, Plum Creek was a private timberland owner in the U.S.","Acquired.,materials"
PG&E CORPORATION (PCG),PG&E is a public utility providing gas and electricity in northern and central California.,"Bankruptcy.,utility"
PACCAR INC (PCAR),"PACCAR manufactures trucks that are marketed under the Kenworth, Peterbilt and DAF nameplates, and providerelated parts and financial services.","equipment,manufacturing"
PITNEY BOWES INC. (PBI),"Pitney Bowes provides equipment, software, supplies and services for clients to create physical and digital mail, and process inbound mail.",equipment
"THE PEPSI BOTTLING GROUP, INC. (PBG)","Acquired by PepsiCo in 2009, The Pepsi Bottling Group was a manufacturer, seller and distributor of Pepsi-Cola beverages.","Acquired.,manufacturing"
"PEOPLE’S UNITED FINANCIAL, INC. (PBCT)","People’s United is a bank holding company that provides commercial and retail banking and wealth management services to individual, corporate and municipal customers located in Connecticut, New York, Massachusetts, Vermont, New Hampshire and Maine.","banking,financial company"
"PAYCHEX, INC. (PAYX)","Paychex provides payroll, human resource, insurance, and benefits outsourcing solutions for small- to medium-sized businesses in the U.S. and Germany.",business services
OCCIDENTAL PETROLEUM CORPORATION (OXY),"Occidental explores, produces, transports, and markets oil and gas and related products, and manufactures basic chemicals and vinyls.",energy
"O'REILLY AUTOMOTIVE, INC. (ORLY)","O'Reilly Automotive is a U.S. retailer of automotive aftermarket parts, tools, supplies and accessories, selling to do-it-yourself and professional service provider customers.",retail
ORACLE CORPORATION (ORCL),"Oracle provides enterprise IT products and services, including database and middleware software, application software, cloud infrastructure software, server, storage, networking hardware, and related services.",software
OFFICEMAX INCORPORATED (OMX),"Prior to its 2013 merger with Office Depot, OfficeMax was engaged in business-to-business and retail office products distribution, providing office supplies and paper, print and document services, technology products and office furniture to large, medium and small businesses, government offices and consumers.","Acquired.,retail"
OMNICOM GROUP INC. (OMC),"Omnicom provides advertising, marketing and corporate communications services.",business services
"ONEOK, INC. (OKE)","The company is the sole general partner and, as of December 31, 2015, owns 41.2% of ONEOK Partners (NYSE: OKS). ONEOK Partners is engaged in the gathering, processing, storage and transportation of natural gas in the U.S., and owns several natural gas  interstate pipelines.",energy
"OWENS-ILLINOIS, INC. (OI)","Owens-Illinois is the successor to a business established in 1903. The company manufactures glass containers for alcoholic beverages, food items, soft drinks, teas, juices and pharmaceuticals.",manufacturing
"OMEGA FLEX, INC. (OFLX)","Omega Flex manufactures and sells flexible metal hose for construction, manufacturing, transportation, petrochemical, pharmaceutical and other markets.",manufacturing
"OFFICE DEPOT, INC. (ODP)","Office Depot sells office products and services to consumers and businesses through office supply stores, a contract sales force, Internet sites, and direct marketing catalogs and call centers.",retail
REALTY INCOME CORPORATION (O),"Realty Income is a real estate investment trust (REIT) that invests in single-tenant commercial properties, primarily for the retail industry.","real estate,REIT"
THE NEW YORK TIMES COMPANY (NYT),"The company owns the The New York Times newspaper and related websites and mobile applications, and generates revenues from the sale of subscriptions and advertising.","internet,media"
"NEXTGEN HEALTHCARE, INC. (NXGN)",NextGen develops and markets software and services that automate practice management and electronic health records for medical and dental practices.,"business services,IT services,software"
NEWS CORPORATION (NWS),"News Corporation is a global diversified media and information services company. Its properties include The Wall Street Journal, Factiva, Barron’s and New York Post in the U.S., as well as publications in Australia and the U.K. The company also engages in book publishing, digital real estate services, and direct to consumer coupon marketing and advertising.","internet,media"
NEWELL RUBBERMAID INC (NWL),"Newell Rubbermaid markets consumer and commercial products under brands such as Sharpie, Paper Mate, Elmer’s, Rubbermaid, or Calphalon.","consumer goods,manufacturing"
"NOVELLUS SYSTEMS, INC. (NVLS)","Acquired by Lam Research Corporation in 2011, Novellus provided equipment used in the fabrication of integrated circuits.","Acquired.,equipment"
NVIDIA CORPORATION (NVDA),"NVIDIA provides visual computing chips for gaming, professional visualization, datacenter and automotive applications.",hardware
"NU SKIN ENTERPRISES, INC. (NUS)",Nu Skin Enterprises develops and distributes anti-aging personal care products and nutritional supplements through a direct sales network.,"consumer goods,health care"
NUCOR CORPORATION (NUE),Nucor manufactures steel and steel products. Most of the company’s operating facilities and customers are located in North America.,"manufacturing,materials"
NORTHERN TRUST CORPORATION (NTRS),"Northern Trust is a financial holding company that provides asset servicing, fund administration, asset management, fiduciary and banking solutions for corporations, institutions, and individuals worldwide.","banking,financial company"
"NETAPP, INC. (NTAP)","NetApp provides software, systems and services to manage and store customer data.","hardware,software"
NATIONAL SEMICONDUCTOR CORPORATION (NSM),"Acquired by Texas Instruments in 2011, National Semiconductor developed analog and mixed-signal integrated circuits and sub-systems, particularly in the area of power management.","Acquired.,hardware"
NORFOLK SOUTHERN CORPORATION (NSC),"Norfolk Southern owns a freight railroad and is engaged in the rail transportation of raw materials, intermediate products, and finished goods primarily in the Southeast, East, and Midwest of the U.S.",transportation
"NRG ENERGY, INC. (NRG)","NRG operates power plants and sells electric power to wholesale business customers, and in competitive retail energy markets of Connecticut, Delaware, Illinois, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Ohio and Texas, as well as the District of Columbia.","Bankruptcy.,energy"
"NOVELL, INC. (NOVL)","Novell was acquired by Attachmate Corporation in November 2010. The company developed, sold and installed enterprise software.","Acquired.,software"
"NATIONAL OILWELL VARCO, INC. (NOV)","National Oilwell Varco designs, manufactures and sells equipment and components used in oil and gas drilling, completion and production operations, and the provision of oilfield services to the upstream oil and gas industry.","energy,equipment"
NORTHROP GRUMMAN CORPORATION (NOC),"Northrop Grumman conducts most of its business with the U.S. Government, principally the Department of Defense. Company products include command, control, communications and computers systems, intelligence and surveillance solutions, and strike aircraft.","engineering and construction,equipment"
NIELSEN HOLDINGS PLC (NLSN),Nielsen is a global provider of media audience and consumer purchasing measurement and analytics. The company was founded in 1923.,business services
"NIKE, INC. (NKE)","NIKE designs and sells branded athletic footwear, apparel, equipment and accessories. Virtually all of the products are manufactured outside of the U.S. by independent contract manufacturers.",consumer goods
"BLUE NILE, INC. (NILE)",Blue Nile is an online retailer of diamonds and jewelry.,"Acquired.,internet,retail"
NISOURCE INC. (NI),"NiSource is an energy holding company whose subsidiaries are regulated natural gas and electric utility companies serving customers in Ohio, Pennsylvania, Virginia, Kentucky, Maryland, Massachusetts, and Indiana.",utility
NEWFIELD EXPLORATION COMPANY (NFX),"Acquired in 2019, Newfield Exploration was primarily a U.S. based oil and gas exploration and production company.","Acquired.,energy"
"NETFLIX, INC. (NFLX)",Netflix is an Internet streaming television network with subscribers in over 190 countries.,internet
NEWMONT GOLDCORP CORPORATION (NEM),"Newmont Goldcorp Corporation is a gold and copper producer with operations or assets in the U.S., Australia, Peru, Indonesia, Ghana and Suriname.",materials
"NEXTERA ENERGY, INC. (NEE)","NextEra Energy is an electric power company providing retail and wholesale electric services in the U.S. and Canada. The company owns generation, transmission and distribution facilities, and has investments in gas infrastructure assets. Generation facilities are primarily wind and solar power plants, nuclear power stations, and gas-fired generation plants. Company subsidiaries include Florida Power & Light Company, which is a rate-regula",utility
NOBLE CORPORATION (NE),Noble Corporation is an offshore drilling contractor for the oil and gas industry. The company performs contract drilling services with its global fleet of mobile offshore drilling rigs.,"engineering and construction,energy"
"NASDAQ, INC. (NDAQ)","Nasdaq is a global operator of stock market, derivatives, and other exchanges. The company provides trading, clearing, regulatory, securities listing, and information services.","financial company,financial services"
NORWEGIAN CRUISE LINE HOLDINGS LTD. (NCLH),"NCLH is a global cruise company operating under the Norwegian Cruise Line, Oceania Cruises and Regent Seven Seas Cruises brands.","consumer services,transportation"
NATIONAL CITY CORPORATION (NCC),"Acquired by The PNC Financial Services in 2008, National City Corporation was a successor to a banking business founded in 1845. The company provided banking services in Ohio, Florida, Illinois, Indiana, Kentucky, Michigan, Missouri, Pennsylvania, and Wisconsin.","Acquired.,banking,financial company"
NABORS INDUSTRIES LTD. (NBR),Nabors is a global provider of drilling services for oil and natural gas wells. The company owns and operates a fleet of land-based and offshore drilling rigs.,"engineering and construction,energy"
"NOBLE ENERGY, INC. (NBL)",Noble Energy is a global oil and gas exploration and production company.,energy
NAVIENT CORPORATION (NAVI),"Navient holds a portfolio of education loans insured or guaranteed under the Federal Family Education Loan Program, as well as a portfolio of private education loans. Navient services its loan portfolio, as well as education loans owned by other financial institutions. Navient is one of four Title IV Additional Servicers to the U.S. Department of Education under its Direct Student Loan Program. Navient also provides asset recovery service","financial company,financial services"
NAVISTAR INTERNATIONAL CORPORATION (NAV),"Navistar manufactures commercial and military trucks, diesel engines, school and commercial buses, and related parts. The company also provides retail, wholesale, and lease financing for its trucks and parts.","equipment,manufacturing"
MYLAN N.V. (MYL),"Mylan develops, licenses, manufactures, markets and distributes generic, branded generic and specialty pharmaceuticals.","health care,pharmaceuticals"
"MONSTER WORLDWIDE, INC. (MWW)",Monster connects employers with job seekers by providing searchable job postings and career management resources online. Employers pay to advertise available jobs and search the Monster resume and social databases.,"Acquired.,internet,media"
MEADWESTVACO CORPORATION (MWV),"Prior to its 2015 merger with Rock-Tenn Co., MeadWestvaco provided packaging solutions to the healthcare, beauty and personal care, food, beverage, home and garden, tobacco, and agricultural industries. The company also produced specialty chemicals for the automotive, energy, and infrastructure industries.","Acquired.,consumer goods,manufacturing,materials"
MURPHY OIL CORPORATION (MUR),Murphy Oil Corporation is a worldwide oil and gas exploration and production company.,energy
"MICRON TECHNOLOGY, INC. (MU)","Micron manufactures and markets semiconductor systems such as DRAM, NAND Flash, and NOR Flash memory for solid-state drives, modules, and multi-chip packages.",hardware
"THE MANITOWOC COMPANY, INC. (MTW)",Manitowoc manufactures construction cranes and commercial  foodservice equipment.,equipment
MGIC INVESTMENT CORPORATION (MTG),MGIC provides private mortgage insurance and related services in the U.S.,"financial company,insurance"
METTLER-TOLEDO INTERNATIONAL INC. (MTD),"Mettler-Toledo provides weighing instruments for laboratory, industrial, and food retailing applications. The company also provides analytical and inspection instruments for life sciences, drug and chemical compound development, and production and packaging for food and pharmaceuticals.","equipment,hardware"
M&T BANK CORPORATION (MTB),"Originally founded in 1856, M&T is a registered financial holding company with two wholly-owned bank subsidiaries: M&T Bank and Wilmington Trust, N.A., which offer a wide range of retail and commercial banking, trust and wealth management, and investment services.","banking,financial company"
"MOTOROLA SOLUTIONS, INC. (MSI)","Motorola Solutions provides communication infrastructure, devices and services to government, public safety, and commercial customers.","equipment,hardware,telecommunications"
MICROSOFT CORPORATION (MSFT),"Microsoft products include operating systems for computing devices, servers, and phones; server applications for distributed computing environments; cross-device productivity applications; business solution applications; desktop and server management tools; software development tools; video games; and online advertising.","internet,software"
MORGAN STANLEY (MS),"Morgan Stanley is a global financial services firm that advises and originates, trades, manages and distributes capital for governments, institutions and individuals.","banking,financial company,financial services"
MARATHON OIL CORPORATION (MRO),Marathon Oil is a global oil and gas exploration and production company.,energy
"MERCK & CO., INC. (MRK)","Merck develops prescription pharmaceutical, vaccines, biologic therapies and animal health products.","health care,pharmaceuticals"
MARATHON PETROLEUM CORPORATION (MPC),"Marathon Petroleum Corporation refines crude oil and other feedstocks at refineries in the Gulf Coast and Midwest regions of the U.S.; transports natural gas, crude oil and refined products; and sells transportation fuels and convenience products in the retail market in the Midwest, East Coast and Southeast,",energy
THE MOSAIC COMPANY (MOS),"The Mosaic Company produces and markets concentrated phosphate and potash crop nutrients and animal feed ingredients. The company mines phosphate rock in Florida, and mines potash in Saskatchewan and New Mexico. The company has production, blending or distribution operations in the U.S., Brazil, China, India and Paraguay.",materials
MONSANTO COMPANY (MON),"Acquired by Bayer in 2018, Monsanto provided seeds, herbicides, and precision agriculture products to farmers.","Acquired.,materials"
MOLEX INCORPORATED (MOLX),"Acquired by Koch Industries in 2013, Molex was a manufacturer of electronic components, including terminals, connectors, cables and cable assemblies, backplanes, and mechanical and electronic switches.","Acquired.,hardware,manufacturing"
"ALTRIA GROUP, INC. (MO)","Altria Group is engaged in the manufacture and sale of cigarettes in the U.S., predominantly through its Philip Morris USA wholly-owned subsidiary.",consumer goods
MONSTER BEVERAGE CORPORATION (MNST),"The company develops, markets, and distributes energy drink beverages and concentrates under brand names including Monster Energy and NOS.",consumer goods
MALLINCKRODT PLC (MNK),"Mallinckrodt develops, manufactures, markets and distributes pharmaceutical products for treatment of neurology, rheumatology, nephrology and pulmonology, immunotherapy and neonatal respiratory critical care, pain management, and treatment of central nervous system conditions. The company also supports diagnostics with nuclear medicine imaging agents.",pharmaceuticals
3M COMPANY (MMM),"3M is a diversified technology company founded in 1902. Company products include tapes and adhesives for industrial applications; personal protective equipment, reflective sheeting and security products; medical and surgical supplies such as tapes, surgical drapes, and drug delivery systems; electronics products; and consumer products under brands such as Scotch and Post-it.","manufacturing,materials"
"MARSH & MCLENNAN COMPANIES, INC. (MMC)","Marsh & McLennan is a global professional services firm. Its subsidiaries include Marsh, the insurance broker, intermediary and risk advisor; Guy Carpenter, the risk and reinsurance specialist; Mercer, the provider of HR and related financial  services; and Oliver Wyman Group, the management, economic and brand consultancy.",business services
"MARTIN MARIETTA MATERIALS, INC. (MLM)","Martin Marietta Materials supplies building and construction materials including crushed stone, sand, and gravel, asphalt, ready mixed concrete, cements, as well as magnesia-based chemicals used in industrial, agricultural, and environmental applications.",materials
"MCCORMICK & COMPANY, INCORPORATED (MKC)","McCormick manufactures, markets and distributes spices, seasoning mixes, and condiments to the food industry – retailers, food manufacturers and foodservice businesses.",materials
MEAD JOHNSON NUTRITION COMPANY (MJN),"Acquired by Reckitt Benckiser Group in 2017, Mead Johnson was a pediatric nutrition company founded in 1905. The principal product categories of the company were infant formula and children’s nutrition.","Acquired.,consumer goods"
MILLIPORE CORPORATION (MIL),"Acquired by Merck in 2010, Millipore provided tools for life science research and drug manufacturing.","Acquired.,equipment,health care"
MARSHALL & ILSLEY CORPORATION (MI),"Acquired by the Bank of Montreal in July 2011, Marshall & Ilsley was a registered bank holding company that provided financial services to corporate, institutional, government and individual customers principally in the midwestern states of the U.S.","Acquired.,banking,financial company"
"MEDCO HEALTH SOLUTIONS, INC. (MHS)","Acquired by Express Scripts in 2011, Medco was a pharmacy benefit management company.","Acquired.,health care"
"MOHAWK INDUSTRIES, INC. (MHK)","Mohawk manufactures residential and commercial floors, including carpet, rugs, ceramic tile, laminate, wood, stone, and vinyl flooring. Company brands include American Olean, Bigelow, Daltile, Durkan, IVC, Karastan, Lees, Marazzi, Mohawk, Pergo, Quick-Step and Unilin.",manufacturing
MGM RESORTS INTERNATIONAL (MGM),"MGM operates casino resorts that offer gaming, hotel, convention, dining, entertainment, and retail amenities in the U.S. and in Macau.",consumer services
"MCAFEE, INC. (MFE)","McAfee was acquired by Intel in August 2010. The company provided computer security solutions for enterprises, governments, small and medium-sized businesses and consumers either directly or through a network of distribution partners.","Acquired.,software"
"METLIFE, INC. (MET)","MetLife provides life insurance, annuities, employee benefits and asset management services.","financial company,insurance"
"MERRILL LYNCH & CO., INC (MER)","Acquired by Bank of America Corporation in 2009, Merrill Lynch engaged in capital markets, advisory and wealth and investment management activities.","Acquired.,asset management,banking,financial company,financial services"
"MEDIFAST, INC. (MED)","Medifast provides weight loss, weight management, and healthy living products and other consumable health and diet products.",health care
MEDTRONIC PUBLIC LIMITED COMPANY (MDT),"Medtronic manufactures and sells medical devices for treatment of cardiac and vascular disease, spine restorative therapy, diabetes therapy, as well as surgical solution","health care,medical devices"
MEREDITH CORPORATION (MDP),"Meredith operates television stations and websites in the U.S., and publishes subscription magazines and special interest publications.",media
"MONDELEZ INTERNATIONAL, INC. (MDLZ)","Mondelez manufactures and markets snacks and beverages around the world. The company portfolio includes the Nabisco, Oreo, Cadbury, and Trident brands.",consumer goods
MOODY’S CORPORATION (MCO),"Moody’s provides credit ratings, credit, capital markets and economic research, and data and analytical tools to financial institutions.",business services
MCKESSON CORPORATION (MCK),"McKesson distributes pharmaceuticals and medical supplies to healthcare providers in the U.S., operates retail pharmacies in Europe and supports independent pharmacy networks in North America with financial, operational and clinical solutions. The company also delivers clinical, patient care, financial, and supply chain technology to healthcare organizations.","business services,health care,IT services"
MICROCHIP TECHNOLOGY INCORPORATED (MCHP),"Microchip Technology develops, manufactures and sells specialized semiconductor products used for embedded control applications. Company products include microcontrollers, power management devices, wired and wireless connectivity devices, EEPROMs, and memory devices.",hardware
MCDONALD'S CORPORATION (MCD),"The company operates and franchises McDonald’s restaurants, which serve locally-relevant fast food and drinks in more than 100 countries.",consumer services
MBIA INC. (MBI),"MBIA primarily provides financial reinsurance through its wholly-owned subsidiary, National Public Finance Guarantee Corporation.","financial company,insurance"
"MATTEL, INC. (MAT)","Mattel markets and sells toys around the world. Company brands include Barbie, Fisher-Price, and American Girl.",consumer goods
MASCO CORPORATION (MAS),"Masco makes branded home improvement and building products, including KraftMaid and Merillat cabinets; Delta, Peerless, and Hansgrohe faucets, bath and shower fixtures; Hot Spring and Caldera spas; Behr paint, primer and stain; Kilz primer; Liberty and Brainerd decorative hardware; and Milgard windows and doors.","consumer goods,manufacturing"
"MARRIOTT INTERNATIONAL, INC. (MAR)","Marriott operates, franchises, and licenses hotels and timeshare properties under brand names that include The Ritz-Carlton, Renaissance Hotels, and Marriott Hotels",consumer services
THE MACERICH COMPANY (MAC),"The company is a self-administered and self-managed real estate investment trust (REIT) that is engaged in the acquisition, development, management and leasing of regional and community shopping centers throughout the U.S.","real estate,REIT"
"MID-AMERICA APARTMENT COMMUNITIES, INC. (MAA)",MAA owns and operates multifamily apartment communities primarily located in the Southeast and Southwest regions of the U.S.,"real estate,REIT"
MASTERCARD INCORPORATED (MA),"MasterCard operates a payment transaction processing network, including authorization, clearing and settlement of transactions. The company also provides loyalty and reward programs, information services and consulting.","financial company,financial services"
"MACY'S, INC (M)","Macy's operates department stores in the U.S., as well as macys.com and bloomingdales.com. The company sells apparel and accessories, cosmetics, home furnishings and other consumer goods.",retail
LYONDELLBASELL INDUSTRIES N.V. (LYB),"LyondellBasell is a petrochemical company operating processing plants that convert liquid and gaseous hydrocarbon feedstocks into plastic resins and other chemicals used by customers to manufacture products such as food packaging, home furnishings, automotive components, paints and coatings. The company also operates an oil refinery in  Houston.",materials
"LEXMARK INTERNATIONAL, INC. (LXK)","Acquired in 2016, Lexmark provided business printing and imaging products, managed print services, document workflow and business process and content management solutions.","Acquired.,hardware"
"LEVEL 3 COMMUNICATIONS, INC. (LVLT)","Level 3 provides integrated communications services to businesses. The company owns and operates a fiber optic network across North America, Europe and Latin America.","Acquired.,telecommunications"
SOUTHWEST AIRLINES CO. (LUV),"Southwest Airlines is a passenger airline that provides point-to-point, rather than the ""hub-and-spoke"", air transportation in the U.S. and near-international markets.",transportation
"LANDSTAR SYSTEM, INC. (LSTR)","Landstar provides transportation management solutions principally in the U.S. and between the U.S. and other countries. Landstar markets its solutions primarily through independent commission sales agents, and exclusively utilizes third party capacity providers to transport customers’ freight.",transportation
LSI CORP (LSI),"Acquired by Avago Technologies in 2013, LSI designed, developed and marketed semiconductors for storage and networking applications.","Acquired.,hardware"
LAM RESEARCH CORPORATION (LRCX),Lam Research makes semiconductor wafer fabrication equipment and provides related services to the semiconductor industry.,equipment
"LOWE’S COMPANIES, INC. (LOW)","Lowe's is a home improvement retailer operating home centers, paint stores, hardware stores, lumber yards and garden centers primarily in the U.S.",retail
ALLIANT ENERGY CORPORATION (LNT),Alliant Energy is a regulated public utility that provides electric and gas service in the Midwest of the U.S.,utility
LINKEDIN CORPORATION (LNKD),"Acquired by Microsoft in 2016, LinkedIn was a professional network on the Internet, generating revenue from enterprises and professional organizations by selling recruiting and marketing solutions.","Acquired.,business services,internet"
LINCOLN NATIONAL CORPORATION (LNC),"Lincoln National operates insurance and retirement businesses. Company products include annuities, life insurance, employer-sponsored retirement plans, and group life, disability and dental insurance.","asset management,financial company,insurance"
LOCKHEED MARTIN CORPORATION (LMT),"Lockheed Martin is a defense company that provides aeronautic, missile, information system, and military products and services, primarily to the U.S. and foreign governments. Company products include the F-35 and F-16 aircraft, and air and missile defense systems.",equipment
"LEGG MASON, INC. (LM)","Legg Mason is a global asset management company that provides investment management and related services to institutional and individual clients, company-sponsored mutual funds and other pooled investment vehicles. The company offers its products and services directly and through financial intermediaries.","asset management,financial company"
ELI LILLY AND COMPANY (LLY),"Eli Lilly is a successor to a business founded in 1876. The company discovers, develops, manufactures, and markets human pharmaceutical products and animal health products. Human pharmaceuticals include endocrinology, neuroscience, oncology, and cardiovascular products","health care,pharmaceuticals"
LINEAR TECHNOLOGY CORPORATION (LLTC),"Acquired by Analog Devices in 2017, Linear Technology made analog integrated circuits for power management, data conversion, signal conditioning, and wireless sensing used in communications, networking, industrial, automotive, computer, medical, instrumentation, consumer, and military and aerospace systems.","Acquired.,hardware"
"L-3 COMMUNICATIONS HOLDINGS, INC. (LLL)","L-3 is a prime contractor in Intelligence, Surveillance and Reconnaissance systems, aircraft modifications, logistics and maintenance, simulation and training, night vision and image intensification equipment, and security and detection systems. L-3 also provides communication and electronic systems used by military and commercial customers.","engineering and construction,equipment"
LKQ CORPORATION (LKQ),"LKQ distributes vehicle products, including replacement parts, components and systems used in the repair and maintenance of vehicles. The main markets for the company are the U.S., Canada, the U.K, and the Benelux region in Europe.",business services
LIFE TECHNOLOGIES CORPORATION (LIFE),"Acquired by Thermo Fisher Scientific in 2014, Life Technologies was a biotechnology tools company. Company products  were also used in forensics, food and water testing and other industrial applications.","Acquired.,equipment,health care"
LABORATORY CORPORATION OF AMERICA HOLDINGS (LH),"LabCorp provides clinical laboratory services used by hospitals, physicians and other healthcare providers, and end-to-end drug development support to pharmaceutical and biotechnology companies",health care
LENNAR CORPORATION (LEN),Lennar is primarily engaged in the construction and sale of single-family homes in the U.S. The company also provides real estate related financial services and investment management.,engineering and construction
